"","Segment 1","Segment 2","Segment 3","Segment 4"
"QualMiles",0.733658081194148,1.20078876826558,1.19133708099009,1.39095890099526
"BonusMiles",0.118637172199005,3.71791743542314,1.53816321836045,0.678285267036862
"BonusTrans",0.487848510382245,1.90696008864067,1.49280597339043,1.19029284215332
"FlightMiles",0.710309585704496,1.93108210152107,1.39438860140429,0.641266752929836
"FlightTrans",0.718876122233283,1.82066380907278,1.34332931909536,0.761109180279033
"DaysSinceEnroll",0.905988429202433,1.19268271200174,1.08140817504378,1.02230486364566
